municipio,estado,populacao_municipio,populacao_estado,area_km2,densidade_populacional,percentual_populacao_estado
Jequiá da Praia,Alagoas,9625.0,3220104.0,334.265,28.79451931850478,0.2989033894557443
Joaquim Gomes,Alagoas,17386.0,3220104.0,298.17,58.30901834523929,0.539920449774293
Jundiá,Alagoas,4176.0,3220104.0,88.793,47.03073440473911,0.12968525240178577
Junqueiro,Alagoas,24381.0,3220104.0,247.724,98.42001582406226,0.7571494585268054
Lagoa da Canoa,Alagoas,18831.0,3220104.0,83.621,225.19462814364815,0.584794776814662
Limoeiro de Anadia,Alagoas,25197.0,3220104.0,309.205,81.48962662311412,0.7824902549731313
Maceió,Alagoas,994464.0,3220104.0,509.32,1952.532788816461,30.88297769264595
Major Isidoro,Alagoas,17834.0,3220104.0,442.744,40.28061362773973,0.5538330439016876
Mar Vermelho,Alagoas,3212.0,3220104.0,91.741,35.011608768162546,0.09974833110980266
Maragogi,Alagoas,33232.0,3220104.0,334.165,99.44787754552391,1.0320163572356669
Maravilha,Alagoas,9715.0,3220104.0,332.37,29.229473177482927,0.30169833024026554
Marechal Deodoro,Alagoas,62341.0,3220104.0,340.98,182.82890492110974,1.935993371642655
Maribondo,Alagoas,13968.0,3220104.0,180.107,77.55389851588222,0.4337748097576972
Mata Grande,Alagoas,22147.0,3220104.0,914.722,24.211727716180437,0.6877728172754669
Matriz de Camaragibe,Alagoas,24330.0,3220104.0,238.113,102.17837749303902,0.75556565874891
Messias,Alagoas,15707.0,3220104.0,114.156,137.5924173937419,0.4877792766941689
Minador do Negrão,Alagoas,4938.0,3220104.0,167.462,29.48728666802021,0.153349084377399
Monteirópolis,Alagoas,7341.0,3220104.0,86.604,84.7651378689206,0.22797400332411627
Murici,Alagoas,25933.0,3220104.0,418.028,62.03651430047748,0.8053466596109939
Novo Lino,Alagoas,10298.0,3220104.0,215.547,47.77612307292609,0.319803335544442
Olho d'Água Grande,Alagoas,4384.0,3220104.0,117.006,37.46816402577645,0.13614467110379044
Olho d'Água das Flores,Alagoas,21132.0,3220104.0,188.221,112.27227567593414,0.6562520962055884
